trip_id,ref_no,latitude,longitude,datetime
137,81,19.190671,72.967786,2024-08-14 16:11:48
137,81,19.189308,72.967568,2024-08-14 16:12:18
137,81,19.188908,72.967551,2024-08-14 16:12:31
137,81,19.188473,72.967546,2024-08-14 16:12:39
137,81,19.187657,72.967848,2024-08-14 16:13:04
137,81,19.187142,72.969102,2024-08-14 16:13:44
137,81,19.187079,72.969511,2024-08-14 16:14:03
137,81,19.187055,72.969595,2024-08-14 16:14:06
137,81,19.187073,72.970613,2024-08-14 16:14:28
137,81,19.187671,72.971764,2024-08-14 16:15:17
137,81,19.187704,72.97196,2024-08-14 16:15:21
137,81,19.187748,72.972466,2024-08-14 16:15:31
137,81,19.187762,72.972884,2024-08-14 16:15:41
137,81,19.187764,72.973671,2024-08-14 16:16:01
137,81,19.187764,72.973671,2024-08-14 16:16:50
137,81,19.187764,72.973671,2024-08-14 16:16:52
137,81,19.188042,72.974226,2024-08-14 16:16:58
137,81,19.188042,72.974226,2024-08-14 16:17:04
137,81,19.188195,72.974213,2024-08-14 16:17:07
137,81,19.188297,72.974213,2024-08-14 16:17:12
137,81,19.188793,72.97484,2024-08-14 16:17:37
137,81,19.188933,72.975706,2024-08-14 16:18:35
137,81,19.188066,72.975822,2024-08-14 16:19:05
137,81,19.188066,72.975822,2024-08-14 16:19:28
137,81,19.188066,72.975822,2024-08-14 16:19:53
137,81,19.187788,72.976235,2024-08-14 16:19:56
137,81,19.187764,72.976333,2024-08-14 16:19:59
137,81,19.187731,72.976631,2024-08-14 16:20:13
137,81,19.1877,72.976782,2024-08-14 16:21:10
137,81,19.1877,72.976782,2024-08-14 16:21:40
137,81,19.1877,72.976782,2024-08-14 16:22:01
137,81,19.1877,72.976782,2024-08-14 16:22:31
137,81,19.1877,72.976782,2024-08-14 16:23:00
137,81,19.187388,72.976968,2024-08-14 16:23:13
137,81,19.187388,72.976968,2024-08-14 16:23:43
137,81,19.187388,72.976968,2024-08-14 16:23:54
137,81,19.187388,72.976968,2024-08-14 16:24:13
137,81,19.187388,72.976968,2024-08-14 16:24:43
137,81,19.187388,72.976968,2024-08-14 16:25:03
137,81,19.187388,72.976968,2024-08-14 16:26:04
137,81,19.186915,72.976915,2024-08-14 16:26:54
137,81,19.186815,72.976599,2024-08-14 16:27:03
137,81,19.186806,72.976493,2024-08-14 16:27:06
137,81,19.186806,72.976493,2024-08-14 16:27:17
137,81,19.186806,72.976493,2024-08-14 16:27:37
137,81,19.186806,72.976493,2024-08-14 16:28:50
137,81,19.186806,72.976493,2024-08-14 16:29:26
137,81,19.186806,72.976493,2024-08-14 16:29:46
137,81,19.186806,72.976493,2024-08-14 16:30:06
137,81,19.186806,72.976493,2024-08-14 16:30:35
137,81,19.186806,72.976493,2024-08-14 16:31:15
137,81,19.186806,72.976493,2024-08-14 16:31:26
137,81,19.186806,72.976493,2024-08-14 16:31:36
137,81,19.186806,72.976493,2024-08-14 16:31:57
137,81,19.186806,72.976493,2024-08-14 16:32:16
137,81,19.187668,72.975728,2024-08-14 16:32:37
137,81,19.188151,72.975808,2024-08-14 16:32:47
137,81,19.190822,72.976333,2024-08-14 16:33:37
137,81,19.194291,72.976888,2024-08-14 16:34:57
137,81,19.195315,72.977026,2024-08-14 16:36:07
137,81,19.196551,72.977288,2024-08-14 16:36:37
137,81,19.196551,72.977288,2024-08-14 16:36:50
137,81,19.196551,72.977288,2024-08-14 16:37:09
137,81,19.196551,72.977288,2024-08-14 16:37:19
137,81,19.197193,72.977408,2024-08-14 16:37:33
137,81,19.197777,72.977502,2024-08-14 16:37:55
137,81,19.199528,72.977311,2024-08-14 16:39:01
137,81,19.199528,72.977311,2024-08-14 16:39:31
137,81,19.199528,72.977311,2024-08-14 16:39:41
137,81,19.199528,72.977311,2024-08-14 16:39:51
137,81,19.199528,72.977311,2024-08-14 16:40:11
137,81,19.20242,72.978026,2024-08-14 16:41:57
137,81,19.203148,72.978164,2024-08-14 16:42:17
137,81,19.203148,72.978164,2024-08-14 16:42:27
137,81,19.203148,72.978164,2024-08-14 16:42:37
137,81,19.203635,72.97808,2024-08-14 16:42:53
137,81,19.20502,72.977631,2024-08-14 16:43:48
137,81,19.204991,72.977782,2024-08-14 16:43:54
137,81,19.205113,72.977831,2024-08-14 16:44:10
137,81,19.205113,72.977831,2024-08-14 16:44:14
137,81,19.205353,72.977937,2024-08-14 16:44:17
